isbn,bookid,bookname,author,publish,releaseDate
7-01-000063-8,B_01000063_001,齐奥塞斯库选集（1984-1986年）,[罗]尼古拉·齐奥塞斯库　著,人民出版社,554655600000
7-01-000082-4,B_01000082_001,国际共运史研究　第三辑,中共中央马克思恩格斯列宁斯大林著作编译局国际共运史研究所　编,人民出版社,567964800000
7-01-000178-2,B_01000178_001,国际共运史研究　第四辑,中共中央马克思恩格斯列宁斯大林著作编译局国际共运史研究所　编,人民出版社,570643200000
7-01-000206-1,B_01000206_001,卢森堡文选 下卷,(德)卢森堡　著,人民出版社,657388800000
7-01-000237-1,B_01000237_001,苏联和主要资本主义国家经济历史统计集（1800—1982）,中国社会科学院世界经济与政治研究所综合统计研究室　编,人民出版社,623174400000
7-01-000263-0,B_01000263_001,共产国际与中国革命资料选辑(1928-1943),,人民出版社,591638400000
7-01-000287-8,B_01000287_001,论共产国际,季诺维也夫,人民出版社,596908800000
7-01-000288-6,B_01000288_001,国际共运史研究　第五辑,中共中央马克思恩格斯列宁斯大林著作编译局国际共运史研究所　编,人民出版社,582390000000
7-01-000307-6,B_01000307_001,希腊共产党历史,[意]安东尼奥·索拉罗　著,人民出版社,654710400000
7-01-000319-X,B_01000319_001,波兰共产党历史概要,[美]M.K.杰万诺夫斯基　著,人民出版社,657388800000
7-01-000339-4,B_01000339_001,黄文欢文选（1979—1987）,,人民出版社,583686000000
7-01-000375-0,B_01000375_001,国际共运史研究　第六辑,中共中央马克思恩格斯列宁斯大林著作编译局国际共运史研究所　编,人民出版社,599587200000
7-01-000389-0,B_01000389_001,雅鲁泽尔斯基选集,[波]雅鲁泽尔斯基(W.Jaruzelski)　著,人民出版社,594316800000
7-01-000403-X,B_01000403_001,日夫科夫选集（1956—1987年）,日夫科夫　著,人民出版社,594316800000
7-01-000484-6,B_01000484_001,否定之否定律及其方法论职能,[苏]弗·阿·格梁德柯夫　著,人民出版社,623174400000
7-01-000499-4,B_01000499_001,南斯拉夫共产主义者联盟历史,[南]斯·斯托扬诺维奇　主编,人民出版社,628444800000
7-01-000516-8,B_01000516_001,国际共运史研究　第七辑,中共中央马克思恩格斯列宁斯大林著作编译局中共中央国际共运史研究所　编,人民出版社,620578800000
7-01-000524-9,B_01000524_001,共产国际的经验教训,宋洪训等　主编,人民出版社,609951600000
7-01-000638-5,B_01000638_001,在古巴共产党第一、二、三次全国代表大会上的中心报告,菲德尔·卡斯特罗,人民出版社,633801600000
7-01-000728-4,B_01000728_001,苏联史纲（1917-1937）上册,陈之骅　主编,人民出版社,665337600000
7-01-000728-4,B_01000728_002,苏联史纲（1917-1937）下册,陈之骅　主编,人民出版社,665337600000
7-01-000871-X,B_01000871_001,苏联经济,陆南泉　主编,人民出版社,683650800000
7-01-000887-6,B_01000887_001,苏联共产党第二十八次代表大会主要文件资料汇编,苏群　编译,人民出版社,665337600000
7-01-001155-9,B_01001155_001,马克思主义史（Ⅲ）,[南]普雷德腊格·弗兰尼茨基　著,人民出版社,717868800000
7-01-001256-3,B_01001256_001,倍倍尔文选,中共中央马克思恩格斯列宁斯大林著作编译局国际共运史研究所　编,人民出版社,746812800000
7-01-002286-0,B_01002286_001,越南的社会主义,古小松　著,人民出版社,812476800000
7-01-002367-0,B_01002367_001,世界社会主义思想通鉴,何宝骥　主编,人民出版社,833558400000
7-01-003208-4,B_01003208_001,开创人类新文明的伟大实验——二十世纪社会主义发展的历史经验,宋萌荣　等著,人民出版社,967737600000
7-01-003553-9,B_01003553_001,苏联兴亡史论,陆南泉　等主编,人民出版社,1009814400000
7-01-004747-2,B_01004747_001,苏联演变进程中的意识形态研究,曹长盛　张捷　樊建新　主编,人民出版社,1101830400000
7-01-005721-4,B_01005721_001,历史唯物主义新形态的探索——卢卡奇社会存在本体论研究,刘卓红　著,人民出版社,1159632000000
7-01-005945-4,B_01005945_001,全球化与当代社会主义——当代社会主义理论前沿问题研究述评,莫岳云　主编,人民出版社,1164902400000
978-7-01-006126-9,B_01006126_001,世界社会主义纵横,关志钢　主编,人民出版社,1175356800000
978-7-01-006164-1,B_01006164_001,苏联史论,吴恩远　著,人民出版社,1180627200000
978-7-01-006259-4,B_01006259_001,新经济政策是怎样被断送的（三）,[俄]А．Н．雅科夫列夫　主编,人民出版社,1196438400000
978-7-01-006260-0,B_01006260_001,新经济政策是怎样被断送的（四）,[俄]A.H.雅科夫列夫　主编,人民出版社,1196438400000
978-7-01-006261-7,B_01006261_001,社会主义通史　第一卷,王伟光　主编,人民出版社,1301587200000
978-7-01-006262-4,B_01006262_001,社会主义通史　第二卷,王伟光　主编,人民出版社,1301587200000
978-7-01-006278-5,B_01006278_001,社会主义通史　第五卷,王伟光　主编,人民出版社,1301587200000
978-7-01-006386-7,B_01006386_001,苏联经济体制改革史论,陆南泉　著,人民出版社,1193846400000
978-7-01-006794-0,B_01006794_001,新经济政策是怎样被断送的（二）,［俄］А. H.雅科夫列夫　主编,人民出版社,1206979200000
978-7-01-006879-4,B_01006879_001,新经济政策是怎样被断送的（五）,[俄]A.H.雅科夫列夫　主编,人民出版社,1209571200000
978-7-01-006988-3,B_01006988_001,伯恩施坦文选,殷叙彝　编,人民出版社,1206979200000
978-7-01-006999-9,B_01006999_001,卡斯特罗评传,徐世澄　著,人民出版社,1209571200000
978-7-01-007000-1,B_01007000_001,卢森堡文选,[德]罗莎·卢森堡　著,人民出版社,1338480000000
978-7-01-007001-8,B_01007001_001,托洛茨基文选,[俄]列·托洛茨基　著,人民出版社,1275321600000
978-7-01-007002-5,B_01007002_001,布哈林文选,[苏]布哈林　著　郑异凡　编,人民出版社,1406822400000
978-7-01-007003-2,B_01007003_001,卢卡奇文选,李鹏程　编,人民出版社,1217520000000
978-7-01-007004-9,B_01007004_001,普列汉诺夫文选,[俄]格·瓦·普列汉诺夫　著,人民出版社,1280592000000
978-7-01-007005-6,B_01007005_001,葛兰西文选,李鹏程　编,人民出版社,1217520000000
978-7-01-007006-3,B_01007006_001,考茨基文选,王学东　编,人民出版社,1220198400000
978-7-01-007007-0,B_01007007_001,饶勒斯文选,李兴耕　编,人民出版社,1233417600000
978-7-01-007265-4,B_01007265_001,共产党执政与社会主义建设——原苏东国家工人阶级政党执政的历史经验,唐鸣　俞良早　主编,人民出版社,1220198400000
978-7-01-007623-2,B_01007623_001,勃列日涅夫18年,郭春生　著,人民出版社,1238515200000
978-7-01-007704-8,B_01007704_001,世界社会主义运动中国际联合问题研究,谭荣邦　著,人民出版社,1233417600000
978-7-01-007865-6,B_01007865_001,历史的风——俄罗斯学者论苏联解体和对苏联历史的评价,李慎明　主编,人民出版社,1243785600000
978-7-01-008045-1,B_01008045_001,社会主义通史　第八卷,王伟光　主编,人民出版社,1301587200000
978-7-01-008046-8,B_01008046_001,社会主义通史　第六卷,王伟光　主编,人民出版社,1301587200000
978-7-01-008053-6,B_01008053_001,社会主义通史　第四卷,王伟光　主编,人民出版社,1301587200000
978-7-01-008156-4,B_01008156_001,社会主义通史　第三卷,王伟光　主编,人民出版社,1301587200000
978-7-01-008163-2,B_01008163_001,苏联检察院对5810例反苏维埃鼓动宣传活动案件的司法复查（1953—1991）（上册）,[俄]埃德尔曼　编,人民出版社,1272643200000
978-7-01-008163-2,B_01008163_002,苏联检察院对5810例反苏维埃鼓动宣传活动案件的司法复查（1953—1991）（下册）,[俄]埃德尔曼　编,人民出版社,1272643200000
978-7-01-009315-4,B_01009315_001,共产党通史　第一卷（上册）,沈云锁　潘强恩　主编,人民出版社,1293811200000
978-7-01-009315-4,B_01009315_002,共产党通史　第一卷（下册）,沈云锁　潘强恩　主编,人民出版社,1293811200000
978-7-01-009315-4,B_01009315_003,共产党通史　第二卷（上册）,沈云锁　潘强恩　主编,人民出版社,1293811200000
978-7-01-009315-4,B_01009315_004,共产党通史　第二卷（下册）,沈云锁　潘强恩　主编,人民出版社,1293811200000
978-7-01-009315-4,B_01009315_005,共产党通史　第三卷（上册）,沈云锁　潘强恩　主编,人民出版社,1293811200000
978-7-01-009315-4,B_01009315_006,共产党通史　第三卷（下册）,沈云锁　潘强恩　主编,人民出版社,1293811200000
978-7-01-009520-2,B_01009520_001,为什么不要社会主义?,[英]G.A.科恩　著,人民出版社,1298908800000
978-7-01-009543-1,B_01009543_001,新经济政策的俄国,郑异凡　著,人民出版社,1377964800000
978-7-01-009614-8,B_01009614_001,社会主义通史　第七卷,王伟光　主编,人民出版社,1301587200000
978-7-01-009911-8,B_01009911_001,社会主义意识形态建设：热问题与冷思考,敖带芽　著,人民出版社,1304179200000
978-7-01-010061-6,B_01010061_001,古巴共产党建设研究,王承就　著,人民出版社,1309449600000
978-7-01-010450-8,B_01010450_001,苏联兴亡通鉴——六十年跟踪研究评析,高放　著,人民出版社,1322668800000
978-7-01-011216-9,B_01011216_001,“古巴模式”的理论探索——卡斯特罗的社会主义观,张金霞　著,人民出版社,1349020800000
978-7-01-012252-6,B_01012252_001,列宁、卢森堡、考茨基与伯恩施坦主义,贾淑品　著,人民出版社,1372608000000
978-7-01-012270-0,B_01012270_001,俄国革命,姚海　著,人民出版社,1377964800000
978-7-01-012355-4,B_01012355_001,戈尔巴乔夫改革时期,左凤荣　著,人民出版社,1377964800000
978-7-01-012595-4,B_01012595_001,多党制与南斯拉夫分裂,李满长　著,人民出版社,1377964800000
978-7-01-013143-6,B_01013143_001,解密档案中的鲍罗廷,张秋实　著,人民出版社,1391184000000
978-7-01-013727-8,B_01013727_001,社会主义理论与实践比较研究,关晓丽　著,人民出版社,1404144000000
978-7-01-015350-6,B_01015350_001,永远的鹰——罗莎·卢森堡的生平、著作和影响,[德]迪特马尔·达特　著,人民出版社,1451577600000
,B_1922_000001,俄国共产党党纲,俄国共产党　著,广州人民出版社,-1514793600000
,B_1922_000002,马克思主义和达尔文主义,[英]班纳科支　著,商务印书馆,-1514793600000
,B_1926_000001,第三国际议案及宣言,,人民出版社,-1364976000000
,B_1929_000010,马克思民族社会及国家观念,,上海泰东图书局,-1288771200000
,B_1929_000012,日本无产政党研究,施伏量　著,新生命书局,-1286092800000
,B_1930_000005,国际运动发达史,高希圣　著,上海光华书局,-1259654400000
,B_1930_000010,社会主义的必然（上）,塞姆柯甫士基　编,春秋书店,-1246694400000
,B_1930_000011,社会主义的必然（下）,塞姆柯甫士基　编,春秋书店,-1246694400000
,B_1930_000014,社会主义的理论与实际（全一册）,,上海中华书局,-1241337600000
,B_1930_000024,唯物史观  下,,泰东图书局,-1238745600000
,B_1931_000009,二月革命至十月革命,乌梁诺夫　著,,-1230796800000
,B_1938_000012,共产国际纲领,,解放社,-986284800000
,B_1938_000023,马克思列宁主义的理论基础,阿多辣茨基　著,播种社,-1004774400000
,B_1939_000017,苏联共产党（波尔什维克）历史,苏联共产党（波）中央委员会所设专门委员会　主编,外国文书籍出版局,-978336000000
,B_1941_000005,马克思主义在欧洲,斯本格拉　著,独立出版社,-903603600000
,B_1943_000006,第三国际解散事件,青白出版社　编,青白出版社,-839062800000
0208,B_1949_001493,国际关系与苏联外交政策研究提纲,伊瓦辛　主编,解放社,-639129600000
0490,B_1950_000015,联共（布）关于经济建设问题的决议（第一辑）,,人民出版社,-515491200000
0827,B_1950_000355,欧洲人民民主国家农业的社会主义改造,新华时事丛刊社　编,新华书店,-604915200000
,B_1950_000380,伟大十月社会主义革命三十二周年,马林科夫　著,东北新华书店,-620812800000
0197,B_1950_001236,政治经济学 初学读本,A·列昂节夫　著,新华书店,-610185600000
0394,B_1950_001237,党的建设研究提纲,斯列波夫　主编,解放社,-626083200000
0898,B_1951_000038,苏联的社会主义工业化,[苏]卡希莫甫斯基　著,人民出版社,-599644800000
1171,B_1951_000109,苏联共产党是怎样建设的,中苏友好协会总会　编,人民出版社,-599644800000
1131,B_1951_000110,苏联共产党是苏维埃社会底领导与指导力量,中苏友好协会总会　编,人民出版社,-586598400000
1067,B_1951_000112,非党积极分子是党组织的支柱,威·阿·贝格玛 著,人民出版社,-544435200000
0818,B_1951_000113,法国共产党为和平与民主而斗争,人民出版社　编辑,人民出版社,-578649600000
0796,B_1951_000138,社会主义的劳动与劳动纪律,Н·Г·阿列克桑德洛夫等　著,新华书店,-604915200000
1089,B_1951_000151,苏联的伟大卫国战争,,人民出版社,-586598400000
1019,B_1951_000171,苏联国民经济计划,[苏]库斯基　著,人民出版社,-591868800000
1057,B_1951_000195,苏联的爱国主义教育及其经验,开洛夫　等著,人民出版社,-589276800000
0915,B_1951_000240,保加利亚人民共和国（人民民主国家介绍）,人民出版社编辑部　辑,人民出版社,-599644800000
0031,B_1951_000250,政治经济学,列昂节夫　著,人民出版社,-591868800000
1152,B_1951_000272,苏联国家法概论,列文　著,人民出版社,-578649600000
0948,B_1951_000274,论人民民主国家劳动法,[苏]巴歇尔斯德尼克　著,人民出版社,-594547200000
1176,B_1951_000285,斯大林关于语言学问题的著作对于社会科学发展的意义,[苏]波·弗·尤金　著,人民出版社,-570787200000
1005,B_1951_000287,苏联律师章程·苏俄国家公证章程,中央人民政府法制委员会　编,人民出版社,-591868800000
1028,B_1951_000290,苏俄民事诉讼法典,中央人民政府法制委员会　编,人民出版社,-584006400000
1012,B_1951_000295,苏联民事诉讼法概论,克林曼　著,人民出版社,-589276800000
0970,B_1951_000302,新五年计划中的劳动生产率与减低成本,Ш·杜烈茨基　著,人民出版社,-591868800000
0799,B_1951_000345,苏维埃人民法院,高尔塞宁　著,人民出版社,-589276800000
1161,B_1951_000349,意大利共产党为和平与民主而斗争,,人民出版社,-581328000000
0047,B_1951_000434,英国走向社会主义的道路,施芝禅　辑译,世界知识社,-581328000000
1219,B_1952_000028,列宁斯大林党是苏维埃社会领导的和指导的力量,[苏]格列则尔曼 著,人民出版社,-539164800000
1052,B_1952_000031,社会主义社会发展的动力,[苏]康士坦丁诺夫　著,人民出版社,-549705600000
1061,B_1952_000032,斯大林发展了马克思列宁主义的民族问题理论,卡马里　著,人民出版社,-549705600000
1059,B_1952_000039,日本共产党的三十周年,人民出版社　编辑,人民出版社,-552384000000
1077,B_1952_000042,当作科学看的历史唯物论,[苏]康士坦丁诺夫　著,人民出版社,-568108800000
